,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,minted_market_cap,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,1831,Bitcoin Cash,BCH,bitcoin-cash,1124,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,19984578.125,19984578.125,False,11907235847.79,,11,,,,2026-01-23T06:53:00.000Z,595.8212264133873,307006733.56950444,-33.7876,0.20199839,0.117848,-0.75105978,3.86254997,9.44770929,16.99652329,11907235847.791653,0.3942,12512245754.68,,2026-01-23T06:53:00.000Z,,,,,,2026-01-23 12:25:05.349133
11,328,Monero,XMR,monero,353,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio', 'layer-1', '2017-2018-alt-season', 'binance-ecosystem', 'binance-listing', 'privacy-coins']",,18446744.07370955,18446744.07370955,True,9796356482.66,,12,,,,2026-01-23T06:53:00.000Z,531.061549046881,105766680.8648711,-34.2034,1.17737477,3.80000164,-22.05808576,23.81952678,38.72825863,62.22188999,9796356482.655567,0.3243,9796356482.66,,2026-01-23T06:53:00.000Z,,,,,,2026-01-23 12:25:05.349133
12,1975,Chainlink,LINK,chainlink,2194,2017-09-20T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'defi', 'privacy', 'interoperability', 'iot', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'tron-ecosystem', 'polkadot', 'tokenized-stock', 'polkadot-ecosystem', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'defi-2', 'cross-chain', 'cronos-ecosystem', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'xdc-ecosystem', 'metisdao-ecosystem', 'velas-ecosystem', 'doge-chain-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'real-world-assets-protocols', 'zksync-era-ecosystem', 'kadena-ecosystem', 'base-ecosystem', 'linea-ecosystem', 'sei-ecosystem', 'toncoin-ecosystem', 'paal-ecosystem', 'blast-ecosystem', 'atomicals-ecosystem', 'move-vm', 'eigenlayer-ecosystem', 'hyperliquid-ecosystem', 'gnosis-chain-ecosystem', 'ronin-ecosystem', 'astar-ecosystem', 'core-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'opbnb-ecosystem', 'scroll-ecosystem', 'merlin-ecosystem', 'x-layer-ecosystem', 'b²-network-ecosystem', 'mode-ecosystem', 'world-chain-mainnet-ecosystem', 'made-in-america', 'btcfi', 'world-liberty-financial-portfolio', 'corn-ecosystem', 'bonk-fun-ecosystem', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'bittensor-ecosystem', 'tokenized-assets', 'xstocks-ecosystem', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'bera-chain-ecosystem', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'fraxtal-ecosystem', 'monad-ecosystem', 'hashkey-chain-ecosystem', 'wlfi-ecosystem', 'plasma-ecosystem', 'x402-ecosystem', 'iso-20022']",1000000000.0,708099970.4525867,1000000000.0,False,12296194197.07,,13,,,,2026-01-23T06:54:00.000Z,12.296194197073566,285043938.0608873,-45.4081,-0.24616409,-1.39923319,-10.90091818,0.92560803,-2.42903052,-31.11120088,8706934747.62706,0.2883,12296194197.07,,2026-01-23T06:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2026-01-23 12:25:05.349133
13,3957,UNUS SED LEO,LEO,unus-sed-leo,65,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,921693173.9,985239504.0,False,8754718544.55,,14,,,,2026-01-23T06:54:00.000Z,8.885878518880709,1406287.8026489,39.0338,-0.20969736,-0.31120841,-0.09880619,10.39333171,-6.13946699,-0.89231226,8190053574.956991,0.2712,8754718544.55,,2026-01-23T06:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2026-01-23 12:25:05.349133
14,512,Stellar,XLM,stellar,799,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'defi', 'smart-contracts', 'hashkey-capital-portfolio', 'real-world-assets-protocols', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'iso-20022']",50001806812.0,32421784030.082405,50001786883.65895,False,10582420471.14,,15,31531408660.0,6673334000.318913,,2026-01-23T06:53:00.000Z,0.21164084587139131,117715564.1773628,-36.7418,0.08051924,-1.34117251,-7.13549216,-1.16660848,-14.62812352,-33.6646992,6861773796.786206,0.2272,10582424688.79,,2026-01-23T06:53:00.000Z,,,,,,2026-01-23 12:25:05.349133
0,1,Bitcoin,BTC,bitcoin,12524,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19979612.0,19979612.0,False,1787469011401.41,,1,,,,2026-01-23T06:53:00.000Z,89464.65083513172,34775721465.70276,-33.5074,-0.00331811,-0.70288598,-6.49185753,2.91023895,2.99399875,-19.70869396,1787469011401.4077,59.1802,1878757667537.77,,2026-01-23T06:53:00.000Z,,,,,,2026-01-23 12:25:05.349133
1,1027,Ethereum,ETH,ethereum,11442,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'sophon-ecosystem']",,120694468.89581029,120694468.89581029,True,355168760669.05,,2,,,,2026-01-23T06:53:00.000Z,2942.709503744134,21600620364.0423,-36.1272,-0.72522835,-2.53424109,-11.17096855,0.41582534,3.91848517,-25.14633238,355168760669.0517,11.7591,355168760669.05,,2026-01-23T06:53:00.000Z,,,,,,2026-01-23 12:25:05.349133
2,825,Tether USDt,USDT,tether,167965,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,186917302715.80444,189486597068.5769,True,189232624894.84,,3,,,,2026-01-23T06:53:00.000Z,0.9986596826495167,82244655214.06432,-24.8852,-0.0042024,-0.03984082,-0.08408687,-0.06317102,-0.10008955,-0.15022289,186666774211.8689,6.1802,189232624894.84,,2026-01-23T06:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-01-23 12:25:05.349133
3,1839,BNB,BNB,bnb,3098,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",136360650.32,136360648.32,136360648.32,False,121374585063.4,,4,,,,2026-01-23T06:54:00.000Z,890.099794616501,1867641596.046746,-41.2229,0.04316086,-0.02082657,-4.81580101,6.24129021,4.43720048,-20.18997172,121374585063.4049,4.0185,121374586843.6,,2026-01-23T06:54:00.000Z,,,,,,2026-01-23 12:25:05.349133
4,52,XRP,XRP,xrp,1784,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",100000000000.0,60789498738.0,99985727631.0,False,190879445137.38,,5,,,,2026-01-23T06:53:00.000Z,1.909066920449151,2245361194.121811,-48.1243,0.06705332,-2.36985414,-7.92682302,3.22049555,-7.66303232,-24.85089901,116051221151.40121,3.8423,190906692044.92,,2026-01-23T06:53:00.000Z,,,,,,2026-01-23 12:25:05.349133
5,3408,USDC,USDC,usd-coin,36690,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",,73611649961.01012,73611649961.01012,False,73581549111.65,,6,60901219650.23,60876316276.38605,,2026-01-23T06:53:00.000Z,0.9995910857945541,14119387098.670767,-22.0655,0.00963824,-0.0193022,-0.0121414,-0.03209487,-0.03977823,-0.03376603,73581549111.65475,2.4362,73581549111.65,,2026-01-23T06:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2026-01-23 12:25:05.349133
6,5426,Solana,SOL,solana,1074,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,565827495.3460941,618907744.6383497,True,79231110497.1,,7,525236893.3,67239588922.13512,,2026-01-23T06:53:00.000Z,128.01764266724848,3261003116.772298,-36.1536,-0.28757437,-1.68123492,-10.62826156,5.46871445,-2.18489167,-34.09366982,72435902110.52048,2.3982,79231110497.1,,2026-01-23T06:53:00.000Z,,,,,,2026-01-23 12:25:05.349133
7,1958,TRON,TRX,tron,1281,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94711548607.77277,94711545770.78847,True,29210554426.18,,8,94667886298.43,29197089147.129642,,2026-01-23T06:53:00.000Z,0.3084159823225488,719250600.2782075,3.0378,-0.11321763,2.69281209,-0.47390615,9.33812005,11.41242698,4.39446398,29210555301.156067,0.9671,29210554426.18,,2026-01-23T06:53:00.000Z,,,,,,2026-01-23 12:25:05.349133
8,74,Dogecoin,DOGE,dogecoin,1381,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'doge-chain-ecosystem', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,168432843126.57907,168432843126.57907,True,21076775855.57,,9,,,,2026-01-23T06:53:00.000Z,0.12513459646187794,835642088.7457986,-43.4397,0.0008825,-1.29413,-10.76194408,-1.57185745,-14.41263684,-36.98497886,21076775855.571262,0.6978,21076775855.57,,2026-01-23T06:53:00.000Z,,,,,,2026-01-23 12:25:05.349133
9,2010,Cardano,ADA,cardano,1666,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",45000000000.0,36035240284.4779,44994357503.72673,False,16224619741.8,,10,37997904336.0,13701752464.980091,,2026-01-23T06:53:00.000Z,0.3605923196137627,395994250.9438487,-44.671,0.01737816,-1.38239462,-8.48276411,1.03690966,-12.58849823,-44.68097353,12994030882.019192,0.4302,16226654382.62,,2026-01-23T06:53:00.000Z,,,,,,2026-01-23 12:25:05.349133
10,1831,Bitcoin Cash,BCH,bitcoin-cash,1124,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,19984578.125,19984578.125,False,11907235847.79,,11,,,,2026-01-23T06:53:00.000Z,595.8212264133873,307006733.56950444,-33.7876,0.20199839,0.117848,-0.75105978,3.86254997,9.44770929,16.99652329,11907235847.791653,0.3942,12512245754.68,,2026-01-23T06:53:00.000Z,,,,,,2026-01-23 12:25:05.349133
11,328,Monero,XMR,monero,353,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio', 'layer-1', '2017-2018-alt-season', 'binance-ecosystem', 'binance-listing', 'privacy-coins']",,18446744.07370955,18446744.07370955,True,9796356482.66,,12,,,,2026-01-23T06:53:00.000Z,531.061549046881,105766680.8648711,-34.2034,1.17737477,3.80000164,-22.05808576,23.81952678,38.72825863,62.22188999,9796356482.655567,0.3243,9796356482.66,,2026-01-23T06:53:00.000Z,,,,,,2026-01-23 12:25:05.349133
